row,col,year,month,day,hour,B04B,B05B,B06B,B09B,B10B,B11B,B12B,B14B,B16B,I2B,I4B,IRB,VSB,WVB,Label
0,104,2020,10,1,5,0.661438,0.4070333,0.28308105,243.04,248.70662,257.43668,246.19466,258.1158,251.92732,256.91406,287.93484,258.91135,0.5857646,234.35999,0
0,106,2020,10,1,5,0.6634013,0.42333984,0.29222617,243.21333,248.9873,257.42932,246.19185,258.2125,251.9233,257.11035,288.70358,259.00388,0.5779419,234.35999,0
0,114,2020,10,1,5,0.504893,0.34832764,0.25243124,238.94267,245.56596,263.60416,250.4392,261.63934,250.82545,257.84302,294.66904,264.57892,0.3894043,230.82906,0
0,116,2020,10,1,5,0.47487387,0.31375122,0.2452596,234.77,239.22583,251.91699,242.81044,248.9279,240.58833,245.72392,284.60422,252.08612,0.43834433,227.3138,0
0,118,2020,10,1,5,0.48661295,0.32027182,0.25047812,235.995,240.9178,251.27722,242.61688,249.11015,242.33318,246.63957,283.1011,251.75899,0.4526876,228.75618,0
0,119,2020,10,1,5,0.51465863,0.33984375,0.2609253,237.26062,242.12752,251.24298,242.60541,249.85632,243.48369,247.8451,283.0411,251.83772,0.48269653,230.0124,0
0,120,2020,10,1,5,0.51923627,0.34114584,0.25959268,236.054,240.63222,250.54146,242.08562,248.5526,241.88594,246.31665,282.50305,250.64668,0.5166321,229.10667,0
0,122,2020,10,1,5,0.487264,0.31374106,0.23742676,235.16399,240.44026,253.36871,243.77596,250.8891,242.58943,248.01021,282.301,253.49048,0.4259542,228.44714,0
0,125,2020,10,1,5,0.54467773,0.2889506,0.26416016,228.15375,230.90399,236.17781,233.31194,233.97505,230.0977,232.6454,266.22842,236.3014,0.4983622,223.48985,0
0,127,2020,10,1,5,0.5720723,0.25634766,0.26220703,226.16582,228.03166,231.83208,231.23161,230.09998,227.20744,228.76086,261.65976,232.219,0.525767,222.49034,0
0,128,2020,10,1,5,0.61446124,0.22046916,0.25439453,224.44084,225.54749,227.75317,229.09111,226.35474,224.25822,225.32715,257.68665,228.23224,0.5746765,220.84001,0
0,137,2020,10,1,5,0.7318929,0.19958496,0.27461752,216.87,217.13292,217.71533,223.54222,217.09387,216.65143,216.96936,249.8625,218.41194,0.6960144,215.335,1
1,74,2020,10,1,5,0.40572104,0.27590942,0.17415364,240.8608,247.94824,274.1119,257.3067,271.17343,255.35262,265.49673,300.31528,275.38135,0.21979778,232.57617,0
1,102,2020,10,1,5,0.69731647,0.41485596,0.2915751,242.86082,248.70662,257.21802,246.31763,258.21368,251.92531,257.11353,288.20566,259.00894,0.6359965,234.35999,0
1,117,2020,10,1,5,0.4905192,0.2876587,0.25175986,231.40991,235.283,244.40428,238.5002,241.28181,235.27098,238.80798,277.86642,244.26488,0.44421387,225.85364,0
1,119,2020,10,1,5,0.5544637,0.32938638,0.2700399,233.53589,237.79248,244.71559,238.75716,243.1659,237.60588,241.18797,276.95605,244.93239,0.505544,227.24275,0
1,120,2020,10,1,5,0.569458,0.33070883,0.26808676,233.0819,237.0402,243.6675,237.91933,241.98181,236.87944,240.00195,275.58627,243.7284,0.52315265,226.92085,0
1,121,2020,10,1,5,0.569458,0.33070883,0.26808676,233.0819,237.0402,243.6675,237.91933,241.98181,236.87944,240.00195,275.58627,243.7284,0.52315265,226.92085,0
1,132,2020,10,1,5,0.72406006,0.1819865,0.23024495,223.21663,225.00916,226.95024,228.57777,225.09761,223.09904,224.2819,254.34601,227.26357,0.712321,219.74799,0
1,149,2020,10,1,5,0.6040344,0.26026407,0.22568767,233.40932,238.85332,248.75206,241.12689,245.2987,238.53577,242.94444,274.83685,248.20241,0.52250165,226.27667,0
1,150,2020,10,1,5,0.65948486,0.3046163,0.24461873,233.34332,239.11717,250.00578,242.02144,246.08522,238.81743,243.53499,278.8642,249.22278,0.66012573,226.41798,0
2,79,2020,10,1,5,0.38027954,0.25504556,0.13957722,241.59886,250.25,283.1162,263.26984,281.61002,263.10062,275.82007,301.08725,284.91708,0.23024495,233.12285,0
2,99,2020,10,1,5,0.63535565,0.4057312,0.31506348,242.32332,248.56282,257.3307,246.19466,258.32364,252.04,257.12265,290.13205,259.31482,0.52837116,233.81331,0
2,101,2020,10,1,5,0.67317706,0.41159058,0.30395508,242.68164,248.70662,257.22067,246.32039,258.0209,251.82268,256.81665,290.011,259.01337,0.5714213,234.08665,0
2,106,2020,10,1,5,0.651001,0.4037679,0.29548135,242.14026,247.9762,256.54648,245.81372,257.00168,250.31831,255.48,290.13718,258.09244,0.57403564,233.53998,0
2,107,2020,10,1,5,0.651001,0.4037679,0.29548135,242.14026,247.9762,256.54648,245.81372,257.00168,250.31831,255.48,290.13718,258.09244,0.57403564,233.53998,0
2,117,2020,10,1,5,0.5107524,0.2635193,0.25178018,228.2724,231.36633,237.82112,234.91743,235.13002,230.65047,233.1477,270.69467,237.74498,0.48856607,223.80817,0
2,118,2020,10,1,5,0.52053833,0.27590942,0.26026407,228.07098,231.23401,237.08604,234.4709,234.51015,230.1652,232.81519,270.00723,236.81767,0.47029623,223.45984,0
2,119,2020,10,1,5,0.56555176,0.2889506,0.27134195,227.16515,230.21649,234.872,232.74825,232.94252,229.05473,231.13216,267.06058,234.96655,0.5244548,223.02783,0
2,120,2020,10,1,5,0.56555176,0.2889506,0.27134195,227.16515,230.21649,234.872,232.74825,232.94252,229.05473,231.13216,267.06058,234.96655,0.5244548,223.02783,0
2,121,2020,10,1,5,0.5792338,0.2824402,0.2667643,227.9294,230.82776,235.08672,233.19691,233.55214,229.94574,232.30864,265.82672,235.30254,0.5316264,223.72688,0
2,122,2020,10,1,5,0.56815594,0.26612344,0.25698853,227.40047,230.58513,235.64307,233.3249,233.6789,229.948,232.28716,265.16452,235.39099,0.51206464,223.59717,0
2,123,2020,10,1,5,0.5453186,0.2498169,0.24721272,227.17932,229.7727,235.13445,233.13293,233.39502,229.30959,231.62004,263.91684,235.18489,0.46964517,223.24384,0
2,130,2020,10,1,5,0.66796875,0.19699097,0.23742676,223.19751,224.73291,227.55334,228.75,225.41524,223.09386,224.12952,256.64368,227.09975,0.61708575,219.95198,0
2,146,2020,10,1,5,0.723409,0.20284016,0.25764975,220.56946,221.31584,223.39198,226.48552,221.6574,219.94405,220.73286,256.02603,223.38,0.7194926,218.82466,1
2,156,2020,10,1,5,0.49901327,0.3131002,0.24394734,232.05171,237.98845,254.47185,245.48517,249.67778,239.26074,245.46016,287.13638,254.07384,0.40963745,225.3159,0
3,64,2020,10,1,5,0.38613892,0.21591187,0.09653727,243.73335,252.5496,284.648,264.04636,283.6481,264.72638,278.2723,299.07275,286.33594,0.08868408,233.40332,0
3,85,2020,10,1,5,0.4396566,0.3150533,0.2341512,241.41579,247.6794,266.15512,252.3675,264.28494,253.10304,260.4695,300.15353,267.65854,0.28831992,233.26665,0
3,115,2020,10,1,5,0.54596967,0.21525066,0.2289327,226.12749,228.42609,233.73543,232.17714,231.08076,227.31409,229.57939,264.37143,233.51204,0.51400757,222.0435,0
3,118,2020,10,1,5,0.54141235,0.25635782,0.2635193,226.15874,228.73158,233.50531,231.98729,231.18803,227.59492,229.7076,264.3403,233.60132,0.48335776,222.47551,0
3,120,2020,10,1,5,0.5727336,0.26220703,0.2700297,225.61665,227.55249,231.84666,231.2343,229.95966,226.94136,228.64415,262.67575,231.78471,0.5114034,221.88716,0
3,121,2020,10,1,5,0.5968628,0.25502524,0.27070108,224.3875,226.74934,230.29747,230.06207,228.58504,225.94365,227.61641,261.39084,230.04982,0.5531514,221.45515,0
3,145,2020,10,1,5,0.7853902,0.20609538,0.27396646,217.21138,217.44,218.64265,223.90608,217.60555,216.1469,216.77477,254.69934,218.74773,0.7664693,215.53682,1
3,150,2020,10,1,5,0.60859174,0.17611694,0.20350139,224.19319,227.27196,231.4854,230.9383,228.21565,224.10118,226.29112,261.55667,230.406,0.607961,220.28967,1
4,57,2020,10,1,5,0.39071655,0.22697957,0.12132772,243.50804,251.54053,280.0633,260.6898,278.96738,261.87155,274.2746,296.17386,281.26358,0.16566975,233.37117,0
4,58,2020,10,1,5,0.41159058,0.24917603,0.14023845,244.06416,252.40044,280.1811,260.8456,279.47903,262.8062,275.22946,296.43994,281.6892,0.18588257,233.81331,0
4,85,2020,10,1,5,0.4396464,0.31440225,0.23284912,241.41579,247.39526,266.90442,252.71474,264.3984,252.95964,260.1359,300.66562,268.31467,0.2980957,233.26665,0
4,93,2020,10,1,5,0.42920938,0.2993978,0.19959514,241.96497,249.13458,271.9068,256.0602,270.06863,256.8784,265.5603,301.3161,273.86905,0.18196614,233.40332,0
4,99,2020,10,1,5,0.5662028,0.2726542,0.24720256,241.96497,248.41902,258.19,246.93518,258.82138,251.82532,257.1213,287.18127,259.91,0.43182373,233.54,0
4,111,2020,10,1,5,0.5557658,0.21916707,0.22632854,229.18532,232.78325,238.51851,235.38936,236.54272,232.01782,234.92354,268.04138,238.74294,0.5101013,223.86784,0
4,117,2020,10,1,5,0.5505473,0.22177124,0.24003093,226.78748,229.76567,234.97115,232.83191,232.69975,228.87938,231.14479,262.91867,234.99614,0.50290936,223.30351,0
4,121,2020,10,1,5,0.6346944,0.27394614,0.28700766,226.98027,229.20502,233.42125,232.14058,232.17949,228.7299,230.87535,263.62173,233.70972,0.57663983,222.35802,0
4,125,2020,10,1,5,0.54662067,0.21525066,0.2328593,228.3289,231.0075,237.84575,234.66571,235.12541,230.57735,233.24626,265.6768,237.74501,0.4389852,223.433,0
4,130,2020,10,1,5,0.6046956,0.22569783,0.24134319,226.78748,229.52301,234.45361,232.66858,231.98152,227.91333,230.30913,263.16055,234.41655,0.5244446,222.30717,1
4,141,2020,10,1,5,0.7057902,0.18590291,0.23547363,223.83833,224.73332,226.92528,228.74666,225.25356,222.79716,224.12572,256.02402,226.92976,0.6738383,220.62398,0
4,144,2020,10,1,5,0.7899577,0.20218913,0.26352945,217.3686,218.02791,219.2359,224.7492,217.533,216.35571,216.91643,255.0407,219.72803,0.74624634,215.11125,0
4,145,2020,10,1,5,0.7795207,0.2113444,0.2791748,213.48889,212.8929,213.82085,221.96967,212.64069,211.80457,211.9911,254.44434,214.24396,0.7521159,211.80818,0
5,104,2020,10,1,5,0.5564168,0.1617635,0.16111247,240.66609,247.09619,257.44202,246.19743,256.806,249.67332,254.87201,277.4737,258.41312,0.45399985,232.5619,0
5,106,2020,10,1,5,0.52772015,0.13567097,0.14609782,238.54475,244.46944,253.97594,244.17188,252.51067,245.91353,250.52379,270.48013,254.67334,0.45399985,230.67024,0
5,109,2020,10,1,5,0.5335795,0.15849812,0.17350261,233.174,237.91914,245.37169,239.0677,243.3976,238.0461,241.64185,265.94308,245.62575,0.47094727,226.97191,0
5,114,2020,10,1,5,0.6001282,0.18066406,0.21262614,228.18,230.48735,235.20026,233.00525,233.15584,229.97461,231.98792,259.14667,235.46928,0.556427,223.50468,0
5,121,2020,10,1,5,0.5316264,0.20873006,0.22503662,231.26123,234.85779,241.94182,237.07832,240.32642,235.36353,238.30725,268.09015,242.13945,0.46247354,225.66109,0
5,157,2020,10,1,5,0.641215,0.21524048,0.22371419,226.86873,229.41722,236.25877,234.5083,232.23138,226.69263,229.77226,265.37564,235.56065,0.6118571,221.49738,0
5,162,2020,10,1,5,0.7762451,0.22567749,0.28699747,211.22112,210.53554,211.57664,220.79865,209.40001,209.01888,208.86444,255.21436,211.51912,0.7690837,209.6407,0
6,86,2020,10,1,5,0.42138672,0.29418945,0.18654378,241.59886,248.84235,275.90125,258.71384,273.72745,258.0696,268.11874,301.75375,277.79102,0.30136108,233.26665,0
6,95,2020,10,1,5,0.38680014,0.20415242,0.12848918,241.78192,249.41524,271.14304,255.38757,269.12653,257.20718,265.53726,289.80212,271.97733,0.21328735,233.26665,0
6,112,2020,10,1,5,0.60273236,0.17545573,0.21067302,226.7129,229.41527,233.80579,232.15619,232.01994,228.81133,230.78654,258.78,234.0404,0.5525004,222.2595,0
6,116,2020,10,1,5,0.599467,0.16371663,0.19372559,230.76906,234.77827,240.82928,236.18213,238.8905,234.54152,237.4593,261.5181,240.99098,0.5322876,225.39001,0
6,118,2020,10,1,5,0.5459798,0.15784709,0.18459065,233.17397,237.35277,243.87093,237.93822,242.18506,237.55847,240.68665,261.90475,244.17305,0.5022786,226.97191,1
6,124,2020,10,1,5,0.5420634,0.17349243,0.20351155,231.4939,234.54237,240.72282,236.40074,238.52602,233.74529,236.8758,262.18094,240.56017,0.463796,226.45001,0
6,130,2020,10,1,5,0.61576337,0.18066406,0.2185262,228.16791,230.91736,235.3578,233.3119,232.86919,228.61458,231.16937,259.10333,235.17766,0.56555176,223.30351,0
6,133,2020,10,1,5,0.6751404,0.18981934,0.24198405,222.89624,223.6425,225.72859,227.89221,224.1338,221.75859,222.60524,255.024,225.60835,0.6320903,219.73601,0
7,67,2020,10,1,5,0.42596436,0.25309244,0.15784709,235.98204,243.40599,268.0921,252.9293,265.1908,250.56184,260.76614,289.29935,268.09753,0.2739563,227.91667,0
7,108,2020,10,1,5,0.54729205,0.17611694,0.20676677,228.12848,230.85371,235.88777,233.42497,233.74915,230.05042,232.30524,259.65073,235.91393,0.49770102,223.2795,0
7,109,2020,10,1,5,0.57403564,0.18003337,0.21525066,226.51747,229.30066,233.48833,232.04955,231.44385,228.20497,230.34187,258.24332,233.73323,0.50749713,222.112,0
7,115,2020,10,1,5,0.62230426,0.14937337,0.18326823,233.64465,237.93665,244.84918,238.51012,243.17409,238.18147,241.65814,261.29715,245.16502,0.5733846,226.80334,1
7,127,2020,10,1,5,0.5479329,0.1819865,0.20676677,232.92924,237.3066,244.49641,238.43587,242.06847,236.40404,240.00676,263.303,244.15157,0.49965414,226.80334,0
8,88,2020,10,1,5,0.3887736,0.25046793,0.1421814,241.41579,249.3985,281.0965,262.1358,278.8491,261.23563,272.92935,301.19534,282.6609,0.1324056,232.71997,0
8,96,2020,10,1,5,0.47096762,0.18133545,0.15589397,241.23274,247.98474,262.6789,249.67241,261.6477,253.50764,259.60483,275.75955,263.27545,0.3424479,232.9933,0
8,99,2020,10,1,5,0.4448649,0.1232605,0.116750084,241.04968,248.27235,262.52994,249.42204,261.61484,253.39366,259.5864,273.8588,263.32898,0.35158285,232.85664,0
8,100,2020,10,1,5,0.48597208,0.1265157,0.13175456,240.86665,247.39238,259.9769,247.8676,259.25912,251.59663,257.28564,271.8616,260.81747,0.3992106,232.71997,0
8,122,2020,10,1,5,0.54989624,0.14870198,0.17807007,234.32466,238.1097,246.31752,239.44592,244.07668,238.65337,242.34001,263.02927,246.15381,0.487264,227.99286,0
9,101,2020,10,1,5,0.51467896,0.12587483,0.1402181,239.34053,245.26762,255.98259,245.55849,255.04066,248.25415,253.19733,267.82025,256.65298,0.45726523,231.11455,0
9,102,2020,10,1,5,0.5296631,0.1376241,0.15523274,237.3225,243.33173,252.56963,243.26459,251.41756,244.77278,249.5338,266.99963,253.04933,0.46314493,229.74097,0
9,106,2020,10,1,5,0.5355428,0.15326945,0.17284139,234.09798,238.48083,246.42824,239.20854,244.47908,239.14185,243.07222,263.03906,246.46501,0.45792642,227.3138,0
9,108,2020,10,1,5,0.5583598,0.17350261,0.18328857,236.43181,241.93721,252.37666,243.41023,250.4751,243.66797,248.41199,268.34045,252.61275,0.46183267,228.93811,0
9,109,2020,10,1,5,0.5583598,0.17350261,0.18328857,236.43181,241.93721,252.37666,243.41023,250.4751,243.66797,248.41199,268.34045,252.61275,0.46183267,228.93811,0
9,119,2020,10,1,5,0.5642497,0.13826497,0.17741902,236.08064,240.46332,247.55351,240.15031,245.98834,241.05554,244.4602,260.92834,247.61548,0.5081482,229.11858,0
9,120,2020,10,1,5,0.5557556,0.1389262,0.17154948,235.86198,240.6372,249.13622,241.34502,247.22304,241.63762,245.47656,263.33755,249.16866,0.4879252,228.96191,0
9,131,2020,10,1,5,0.6177368,0.19502766,0.24591064,219.15332,220.08624,222.03667,226.30553,220.3011,218.40001,218.96428,255.20203,221.95332,0.5531616,217.62743,0
9,133,2020,10,1,5,0.63794965,0.1930542,0.24591064,219.10278,219.7254,221.08366,225.75777,219.39326,217.5838,218.27223,255.21436,221.20335,0.5694682,216.87361,0
9,150,2020,10,1,5,0.79190063,0.2139384,0.28112793,211.74223,211.50667,211.98,220.81801,210.29298,209.75664,209.66777,258.7767,212.03935,0.7769063,210.33862,0
10,98,2020,10,1,5,0.5022786,0.13435872,0.14544678,239.53694,245.58165,255.77065,245.43742,254.843,248.25899,253.09602,269.11298,256.34033,0.39789835,231.70906,0
10,99,2020,10,1,5,0.5022786,0.13435872,0.14544678,239.53694,245.58165,255.77065,245.43742,254.843,248.25899,253.09602,269.11298,256.34033,0.39789835,231.70906,0
10,107,2020,10,1,5,0.5511983,0.17089844,0.17675781,236.91948,242.4945,253.78471,244.22517,251.74908,244.62883,249.36833,269.48068,253.99408,0.44681802,229.44048,0
10,108,2020,10,1,5,0.5511983,0.17089844,0.17675781,236.91948,242.4945,253.78471,244.22517,251.74908,244.62883,249.36833,269.48068,253.99408,0.44681802,229.44048,0
10,113,2020,10,1,5,0.6125183,0.15523274,0.18589275,237.54749,243.02763,251.27167,242.61375,250.22823,244.33037,248.45076,263.4673,251.86768,0.5453389,229.7538,0
10,117,2020,10,1,5,0.5968526,0.14219157,0.18393962,236.054,240.2511,246.11812,239.46684,245.04573,240.32722,243.62926,258.71738,246.55391,0.5479329,229.27954,0
10,128,2020,10,1,5,0.54989624,0.17088826,0.20937093,226.18498,228.53026,231.67706,231.39476,229.38087,225.67322,227.50226,257.28564,231.48885,0.48532104,222.07033,0
10,134,2020,10,1,5,0.63862103,0.19893391,0.25178018,217.26445,217.82457,219.71,225.03833,217.46443,215.84381,216.29889,255.33699,219.18279,0.59032184,215.06543,1
10,136,2020,10,1,5,0.71428424,0.20611572,0.27001953,215.67223,216.08722,216.953,223.35443,215.23058,214.19444,214.19334,254.36076,217.0324,0.68622845,214.23665,0
11,94,2020,10,1,5,0.38548788,0.18589275,0.102396645,239.34058,247.2486,274.74475,257.80078,272.17593,256.90665,267.28354,291.39297,275.39847,0.16112264,231.12097,0
11,105,2020,10,1,5,0.538147,0.17349243,0.1682841,236.71797,242.53143,254.87451,245.00945,252.46623,244.78001,249.852,271.77316,254.91606,0.3985494,228.80525,0
11,106,2020,10,1,5,0.5505371,0.18914795,0.18067424,236.71013,242.18166,253.98558,244.38191,251.5988,244.2,249.08733,272.01505,254.06099,0.45399985,228.80095,0
11,116,2020,10,1,5,0.61446124,0.14741008,0.18785603,235.62598,239.01555,244.51299,238.35693,243.4987,239.00854,242.10185,258.04,244.8788,0.56358844,229.11858,0
11,124,2020,10,1,5,0.49639893,0.15326945,0.17807007,232.63655,236.82967,244.68977,238.88922,242.31511,236.4801,240.08589,263.68692,244.54427,0.42267862,226.57893,0
12,96,2020,10,1,5,0.43118286,0.1760966,0.13370769,238.74626,245.58,262.86325,250.02425,260.6722,250.53734,257.51382,279.15518,263.07816,0.24198405,230.67668,0
12,107,2020,10,1,5,0.51401776,0.20937093,0.18392944,234.31665,239.92358,252.9872,243.88643,249.96281,241.75276,246.85046,274.94168,252.89668,0.34114584,227.48238,0
12,116,2020,10,1,5,0.61643475,0.15523274,0.19697063,234.50932,238.02998,242.9793,237.44604,241.94469,237.62178,240.57677,257.83536,243.42159,0.55445355,228.63239,0
12,117,2020,10,1,5,0.5936076,0.15261841,0.19111125,234.9373,238.50496,244.75299,238.62679,243.46338,238.65254,242.01292,259.74368,245.05176,0.52574664,228.13383,0
12,119,2020,10,1,5,0.5453186,0.14805095,0.17872111,235.37334,239.76251,248.49475,240.73346,246.585,240.87354,244.59935,263.79855,248.35675,0.47553506,228.63667,0
12,134,2020,10,1,5,0.67839557,0.21133423,0.271993,214.84113,215.36694,216.159,223.16112,214.47664,213.70842,213.68999,254.97575,216.23456,0.628184,213.38957,0
13,98,2020,10,1,5,0.4416097,0.14219157,0.13632202,237.74898,244.16046,257.10803,246.27295,255.19975,247.24785,252.958,271.50403,257.40857,0.3346354,230.21953,0
13,104,2020,10,1,5,0.5270589,0.21068318,0.18980916,232.22325,237.17554,250.35359,242.14949,247.22516,239.01392,244.0909,272.3556,249.95894,0.4226888,225.92334,0
13,107,2020,10,1,5,0.46836343,0.20676677,0.18980916,229.48058,233.73328,244.60454,238.6133,241.13365,233.8976,237.80762,271.96204,244.2096,0.3509318,224.07819,0
13,110,2020,10,1,5,0.47879028,0.2198283,0.20350139,230.21857,235.10847,245.91882,239.4398,242.19621,234.99358,239.12422,272.8699,245.5153,0.36723837,224.60551,0
13,111,2020,10,1,5,0.48988852,0.20481364,0.1950175,231.45325,236.35771,246.71251,240.18188,243.63667,236.29659,240.54834,271.4036,246.58907,0.37506104,225.33174,1
13,115,2020,10,1,5,0.60860187,0.16698201,0.2048238,232.89447,235.91216,240.7406,236.31123,239.21626,235.14143,237.89677,258.15903,240.92119,0.54142255,227.12907,0
13,120,2020,10,1,5,0.49509683,0.1441447,0.16436768,235.39067,240.53505,251.86774,243.14531,249.5816,242.2229,246.95827,267.50433,251.5675,0.41811118,228.30714,0
13,132,2020,10,1,5,0.5727132,0.20546468,0.25112915,215.71443,216.8075,219.16815,224.84276,216.54944,214.87383,215.44554,256.16776,218.97197,0.48921713,214.27502,1
13,137,2020,10,1,5,0.7586365,0.2211202,0.29352823,213.44667,212.97083,214.11066,221.78046,212.59235,211.78363,211.79999,255.97968,214.26929,0.71363324,212.03432,0
14,87,2020,10,1,5,0.3763733,0.1904602,0.12261963,235.4311,242.05742,266.18164,252.09729,262.99728,249.19283,258.09616,287.02203,266.44452,0.19632976,228.19751,0
14,90,2020,10,1,5,0.4226888,0.18262736,0.1428426,236.22949,241.82782,259.5715,247.62483,256.97647,246.70317,253.507,278.51852,259.64908,0.27657065,228.93333,0
14,93,2020,10,1,5,0.42790732,0.1715393,0.14480591,237.74117,243.67871,260.00595,247.95372,258.0371,248.25012,254.93597,277.15506,260.07632,0.30200195,229.9019,0
14,127,2020,10,1,5,0.45204672,0.18915813,0.20675659,219.86139,221.89917,226.76094,228.75334,223.49333,219.94405,221.67859,259.85336,225.94737,0.3607076,217.38808,0
14,130,2020,10,1,5,0.47292075,0.19567871,0.22111003,217.68665,218.82123,222.90833,226.47276,219.76945,216.98285,218.30812,259.12906,221.9425,0.37832642,214.5446,1
14,134,2020,10,1,5,0.65753174,0.21721394,0.27656046,213.57336,214.27222,215.86316,222.77112,213.69002,212.69159,212.61,255.97005,215.41069,0.5909831,212.20874,0
14,136,2020,10,1,5,0.74038696,0.22243245,0.2941691,212.53111,213.40804,213.56982,221.98244,212.05055,211.26903,211.45113,256.03033,213.67285,0.6934102,212.11945,0
15,100,2020,10,1,5,0.5107422,0.16174316,0.18131511,232.77107,237.18445,244.59753,238.7594,242.82066,237.36864,240.95709,262.0724,244.82365,0.43377686,226.36072,0
15,110,2020,10,1,5,0.48399863,0.19567871,0.1982727,226.78748,229.78601,238.8531,235.29382,235.89417,229.71,232.93541,266.6615,238.49333,0.39920044,222.09117,0
15,115,2020,10,1,5,0.5890401,0.19112141,0.23154704,227.07166,228.098,231.54277,230.92047,229.99297,226.81299,228.51933,255.38835,231.51239,0.53163654,222.70634,0
15,138,2020,10,1,5,0.7123311,0.2263387,0.29874673,212.53111,212.97083,213.00401,221.78046,211.63457,210.92491,210.71553,255.84602,213.2282,0.6640523,211.78307,0
16,96,2020,10,1,5,0.48139444,0.16046143,0.16763306,234.98064,239.71973,249.20398,241.24467,247.35704,240.91187,245.24297,266.34235,249.44751,0.32092285,228.1462,0
16,105,2020,10,1,5,0.49901327,0.21199544,0.21590169,224.15874,226.31708,234.14922,232.36621,231.3009,226.39708,229.22478,262.72238,233.87108,0.4122416,220.63599,0
16,109,2020,10,1,5,0.4983622,0.19632976,0.20807903,225.00916,228.06526,235.49028,233.14856,232.7216,227.63863,230.4721,263.23056,235.44958,0.42400107,221.44316,0
16,135,2020,10,1,5,0.6979777,0.22243245,0.29677328,212.53111,213.40804,213.32483,221.58711,211.66667,211.10712,211.28667,254.747,213.26857,0.64708453,211.78307,0
17,115,2020,10,1,5,0.630778,0.18980916,0.24395752,225.34666,226.57915,228.11455,229.25032,227.27095,224.69043,225.91174,253.83702,229.01239,0.57663983,221.908,0
